,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
69,Happy Day,Happy Day,Fred Engay,2022-03-18,158791,43,0.669,0.677,0.669,0.4,0.0,0.193,-7.742,0.0408,134.807,4
70,Lagi,Lagi,Skusta Clee,2021-06-21,214500,65,0.595,0.895,0.595,0.34,0.0,0.112,-7.713,0.0279,94.989,4
71,Let's Morning the Night,Let's Morning the Night,Brian Pepito,2021-06-17,209968,41,0.685,0.527,0.685,0.606,0.000603,0.115,-5.94,0.0427,83.453,4
72,Ako Naman Muna,Ako Naman Muna,Angela Ken,2021-03-05,327058,57,0.713,0.823,0.713,0.258,0.0111,0.0838,-14.231,0.036,102.008,4
73,Pagitan,Pagitan,Minaw,2021-10-08,349333,41,0.672,0.169,0.672,0.467,0.00332,0.0801,-12.899,0.032,89.998,4
74,MAPA,MAPA,SB19,2021-05-16,275420,62,0.561,0.309,0.561,0.651,0.0,0.378,-4.862,0.0689,129.957,4
75,cardigan,folklore,Taylor Swift,2020-07-24,239560,48,0.613,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,4
76,KLWKN,KLWKN,Music Hero,2019-01-31,256572,64,0.493,0.575,0.493,0.394,0.0,0.267,-6.997,0.0366,152.03,4
77,WLKN,WLKN,Fred Engay,2021-12-31,202922,44,0.258,0.595,0.258,0.461,4.09e-05,0.121,-6.599,0.0376,196.662,4
78,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,77,0.767,0.234,0.767,0.481,0.0,0.269,-8.52,0.0803,150.076,4
79,Put Your Records On,Put Your Records On,Ritt Momney,2020-04-24,210463,76,0.399,0.0563,0.399,0.491,0.00089,0.11,-10.778,0.0538,91.066,4
80,Paubaya,Paubaya,Moira Dela Torre,2020-10-23,282490,58,0.373,0.766,0.373,0.245,0.000365,0.0768,-12.45,0.0354,127.067,4
81,Mariposa,Mariposa,Peach Tree Rascals,2019-08-28,210000,73,0.676,0.617,0.676,0.525,0.0,0.356,-5.88,0.028,112.011,4
82,Gabi,Gabi,Fred Engay,2019-10-04,212834,49,0.516,0.163,0.516,0.716,1.72e-06,0.327,-4.763,0.0416,90.012,4
83,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,86,0.677,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,4
84,Upuan,"Pebble House, Vol. 1: Kuwaderno",Ben&Ben,2021-08-29,271975,48,0.565,0.0217,0.565,0.74,0.013,0.158,-6.005,0.0323,103.958,4
85,Bato,Bato,Fred Engay,2021-11-05,204042,38,0.507,0.474,0.507,0.665,0.0,0.0802,-7.153,0.0711,160.006,4
86,Catching Feelings,Catching Feelings,Inigo Pascual,2019-08-02,159304,53,0.64,0.355,0.64,0.555,0.0,0.0924,-6.964,0.107,172.11,4
87,Hanggang Sa Huli,Get In The Zone,SB19,2020-07-31,254469,54,0.539,0.702,0.539,0.553,0.0,0.205,-4.338,0.0276,132.045,4
88,Catriona,Catriona,Matthaios,2019-12-01,204512,54,0.71,0.67,0.71,0.388,0.0,0.177,-12.106,0.0545,114.858,4
89,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,203064,84,0.702,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
90,Dynamite,Dynamite,BTS,2020-08-21,199053,0,0.746,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
91,Fire,Fire,Fred Engay,2019-06-21,270550,49,0.266,0.898,0.266,0.15,3.5e-06,0.12,-13.047,0.0362,176.74,4
92,Ivana,Ivana,Soulstice,2020-01-06,246550,23,0.87,0.281,0.87,0.483,0.0,0.0526,-7.441,0.297,100.012,4
93,Mana,Pagsibol,SB19,2021-07-22,243676,51,0.69,0.0267,0.69,0.687,0.00195,0.35,-6.164,0.0666,102.019,4
94,How You Like That,How You Like That,BLACKPINK,2020-06-26,181263,1,0.828,0.0694,0.828,0.782,3.41e-05,0.0544,-4.014,0.0918,130.013,4
95,Zebbiana,Zebbiana,Skusta Clee,2019-07-26,304664,59,0.677,0.545,0.677,0.433,0.0,0.105,-8.518,0.037,134.006,4
96,WLKN,WLKN,Fred Engay,2021-12-31,202922,44,0.258,0.595,0.258,0.461,4.09e-05,0.121,-6.599,0.0376,196.662,4
97,Tilaluha,Tilaluha,SB19,2020-02-01,237428,39,0.471,0.828,0.471,0.457,0.000105,0.144,-6.852,0.0278,139.904,4
98,Padaba,Padaba,Fred Engay,2021-05-07,277029,47,0.337,0.574,0.337,0.449,0.00126,0.198,-9.655,0.0316,179.801,3
99,Life Goes On,BE,BTS,2020-11-20,207481,22,0.566,0.00691,0.566,0.716,0.0,0.37,-5.733,0.0424,81.068,4
